Dataset (indv datasets within larger group),Full name dataset (top of page),CxG Link,h5ad link,Reference_DOI,Bionetworks reference,Standard category present? (T/F),Standard category cell_type present? (T/F),Author Category Cell Type Field Name,Content,Value type(s),Notes,Study Short Name,CxG Dataset Collection X,Is the dataset Normal or Normal/Diseased,Stage
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,author_cell_type,Cell types,Normal,,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,category ,Cell types,Normal,,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,Diagnosis,Other,Normal,,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,Age_group,Other,"Normal, abbreviations",,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,batch,Other,Normal,,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,Fraction ,Other,Normal,,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,hca_data_portal_cellsuspension_uuid,Other,Normal,,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
Total - Cells of the human intestinal tract mapped across space and time,Cells of the human intestinal tract mapped across space and time,https://cellxgene.cziscience.com/e/80a2c5b6-02e7-4fc0-9f12-179f5247c1bc.cxg/,https://datasets.cellxgene.cziscience.com/cccbc47c-1b27-4657-874c-b62ce42091dc.h5ad,DOI:10.1038/s41586-021-03852-1,Y,T,T,hca_data_portal_donor_uuid,Other,Normal,,Elmentaite et al. (2021) Nature,https://cellxgene.cziscience.com/collections/e33ffcd3-7cbf-4b8c-b0f4-85587ad5019a,Normal,Both
A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,https://cellxgene.cziscience.com/e/019c7af2-c827-4454-9970-44d5e39ce068.cxg/,https://datasets.cellxgene.cziscience.com/b1ff0e05-486e-4569-92c7-d9100c833a03.h5ad,DOI: 10.1016/j.jcmgh.2022.02.007,T,T,T,lineage,Cell types,abbreviations,,Burclaff et al. (2022) CMGH,https://cellxgene.cziscience.com/collections/64b24fda-6591-4ce1-89e7-33eb6c43ad7b,Normal,Adult
A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,A proximal-to-distal survey of healthy adult human small intestine and colon epithelium by single-cell transcriptomics,https://cellxgene.cziscience.com/e/019c7af2-c827-4454-9970-44d5e39ce068.cxg/,https://datasets.cellxgene.cziscience.com/b1ff0e05-486e-4569-92c7-d9100c833a03.h5ad,DOI: 10.1016/j.jcmgh.2022.02.007,T,T,T,type,Cell types,abbreviations,,Burclaff et al. (2022) CMGH,https://cellxgene.cziscience.com/collections/64b24fda-6591-4ce1-89e7-33eb6c43ad7b,Normal,Adult
